Annexure II- S&P CNX Nifty Index : September 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,13717.94152,0.76,0.8,0.35,1.35,12.35,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3079938872,15326.48298,0.85,0.8,0.24,1.71,9.01,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,17817.97696,0.99,0.35,0.1,1,8.08,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,4144422760,29520.08077,1.64,1.56,0.59,3.02,14.54,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,24559.89494,1.36,0.65,0.17,1.18,13.16,0.07
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,13424.31205,0.75,1,0.36,2.41,26.26,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,31758.55113,1.76,0.85,0.23,2.05,7.12,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,19510.24934,1.08,1.34,0.42,3.33,15.8,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,9011.338848,0.5,0.48,0.07,1.38,4.14,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19087293440,14451.90158,0.8,0.86,0.22,1.97,-2.65,0.05
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19287.60651,1.07,0.36,0.09,1.7,0.97,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,22672.59001,1.26,0.65,0.17,1.54,2.13,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3397134518,8482.247214,0.47,1.67,0.51,2.63,19.58,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849039565,20799.38143,1.15,0.32,0.06,1.5,-1.9,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,17192.48197,0.95,0.62,0.2,1.56,7.8,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917406560,21046.68594,1.17,0.7,0.31,1.26,10.85,0.07
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1388061768,15131.6822,0.84,0.87,0.24,1.27,6.07,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3076775700,119132.7551,6.61,0.9,0.48,1.46,5.32,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4719419210,114229.7048,6.34,0.95,0.53,0.98,5.68,0.07
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17943.33818,1,0.65,0.19,1.39,6.65,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914579068,15524.76737,0.86,1.6,0.49,2.44,16.23,0.07
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161886533,56058.19807,3.11,0.34,0.07,1.43,5.97,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11527275010,122050.7878,6.77,1.61,0.72,2.33,17.36,0.07
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15133197120,19026.99552,1.06,1.59,0.54,2.6,15.22,0.07
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871155755,122221.5295,6.78,0.89,0.28,1.44,7.34,0.05
26,ITC,I T C Ltd.,CIGARETTES,7846813020,147814.302,8.21,0.52,0.14,1.75,1.77,0.05
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,16384.22369,0.91,1.46,0.44,3.59,21.3,0.07
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,9317.995968,0.52,1.96,0.51,2.66,27.42,0.08
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3716050845,24286.80854,1.35,1.16,0.47,1.39,13,0.08
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1227621266,86112.41118,4.78,1.32,0.55,2.17,18.91,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,894035026,14142.91421,0.79,0.92,0.01,1.78,0.48,0.07
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069903780,39578.64077,2.2,0.72,0.35,1.37,13.31,0.07
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,17867.30722,0.99,0.78,0.16,1.44,18.13,0.05
34,NTPC,NTPC Ltd.,POWER,82454644000,21484.94001,1.19,0.68,0.32,1.33,0.03,0.06
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,49694.18317,2.76,1.06,0.28,1.34,1.79,0.08
36,PNB,Punjab National Bank,BANKS,3391786830,11181.12878,0.62,0.65,0.36,2.45,24.2,0.06
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,17059.19183,0.95,0.56,0.3,1.41,0.88,0.07
38,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2111324745,8129.361897,0.45,1.22,0.11,1.54,-3.98,0.06
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32374182590,138350.1193,7.68,1.67,0.54,1.99,9.24,0.06
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,7277.11794,0.4,1.48,0.46,3.02,21.05,0.07
41,SBIN,State Bank of India,BANKS,6710448380,57761.01247,3.21,1.33,0.5,2.15,21.95,0.04
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,6676.586617,0.37,1.36,0.44,2.96,-0.15,0.07
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680590050,6032.154687,0.33,0.95,0.38,1.47,4.57,0.07
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,26135.54605,1.45,1.79,0.13,1.1,4.06,0.07
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5415462482,47296.81567,2.63,0.45,0.46,2.33,14.19,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,17320.91701,0.96,1.61,0.34,1.45,7.49,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712144500,26727.99784,1.48,1.08,0.55,2.33,10.93,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,65997.67898,3.66,1.43,0.16,1.69,-3.56,0.06
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740952350,19233.52928,1.07,0.74,0.18,1.41,16.17,0.071
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4923662606,19728.9653,1.1,0.67,0.17,1.63,5.09,0.06
,,,,,1801491.332,100,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2011 to 28-Sep-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2012 to 28-Sep-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Sep-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
